piste,X,Y,Z,formation
1,246124.08,6709560.691,13.395,Sa
1,246456.18,6709159.129,9.996,Sa
10,246130.214,6709280.769,26.740000000000002,Sa
10,246402.338,6709169.918,8.863,Sa
11,246351.561,6709275.581,6.015,Sa
12,246183.146,6709236.262,20.862000000000002,Sa
12,246323.738,6709214.897,6.154,Sa
13,246217.519,6709177.564,14.809,Sa
13,246244.928,6709270.165,8.251,Sa
14,246171.611,6709158.412,18.492,Sa
14,246381.973,6709302.525,9.548,Sa
16,246177.529,6709157.257,17.801000000000002,Sa
19,246252.1,6709120.785,11.801,Sa
2,246197.288,6709528.258,14.229,Sa
2,246408.318,6709110.304,6.529,Sa
21,246147.815,6709230.243,21.065,Sa
21,246343.548,6709133.62,9.192,Sa
22,246165.99,6709299.81,25.003,Sa
22,246374.911,6709195.269,5.143999999999999,Sa
23,246215.556,6709336.924,8.549999999999999,Sa
23,246408.925,6709122.074,7.145,Sa
24,246442.341,6709197.317,12.408999999999999,Sa
24,246252.433,6709289.712,8.002,Sa
25,246298.219,6709360.223,8.09,Sa
25,246492.332,6709266.174,7.798,Sa
26,246345.368,6709380.204,12.211,Sa
26,246544.333,6709209.713,5.053999999999999,Sa
27,246404.624,6709400.263,12.314,Sa
28,246263.846,6709394.88,10.719999999999999,Sa
29,246194.755,6709398.984,10.107,Sa
3,246262.814,6709535.824,19.292,Sa
3,246350.309,6709081.73,9.838,Sa
30,246173.69,6709456.052,19.025000000000002,Sa
31,246131.183,6709485.641,19.798000000000002,Sa
32,246287.244,6709502.68,16.927000000000003,Sa
33,246316.805,6709446.977,15.278,Sa
34,246257.214,6709569.964,28.636000000000003,Sa
36,246064.574,6709561.532,13.484,Sa
4,246134.606,6709467.932,23.661,Sa
5,246229.902,6709478.357,15.442,Sa
6,246163.964,6709415.947,21.693,Sa
7,246256.83,6709417.055,10.434,Sa
8,246326.824,6709416.972,15.350999999999999,Sa
9,246200.698,6709334.285,13.266,Sa
9,246306.17,6709116.432,12.834999999999999,Sa
20367,246083.0,6709441.0,34.121,Mr
20386,246083.0,6709419.0,44.184,Mr
20387,246105.0,6709419.0,36.91,Mr
20407,246083.0,6709397.0,47.865,Mr
20408,246105.0,6709397.0,43.217,Mr
20409,246127.0,6709397.0,37.941,Mr
20430,246083.0,6709375.0,45.925,Mr
20431,246105.0,6709375.0,43.328,Mr
20432,246127.0,6709375.0,39.262,Mr
20447,246083.0,6709353.0,43.443,Mr
1,246124.08,6709560.691,9.515,Mr
1,246456.18,6709159.129,8.586,Mr
10,246130.214,6709280.769,24.22,Mr
10,246402.338,6709169.918,2.373,Mr
11,246351.561,6709275.581,4.795,Mr
12,246183.146,6709236.262,18.142,Mr
12,246323.738,6709214.897,2.584,Mr
13,246217.519,6709177.564,13.889,Mr
13,246244.928,6709270.165,5.971,Mr
14,246171.611,6709158.412,17.952,Mr
14,246381.973,6709302.525,4.788,Mr
16,246177.529,6709157.257,7.861,Mr
19,246252.1,6709120.785,5.241,Mr
2,246197.288,6709528.258,12.589,Mr
2,246408.318,6709110.304,4.149,Mr
21,246147.815,6709230.243,15.725,Mr
21,246343.548,6709133.62,0.872,Mr
22,246165.99,6709299.81,23.553,Mr
22,246374.911,6709195.269,2.244,Mr
23,246215.556,6709336.924,6.74,Mr
23,246408.925,6709122.074,0.505,Mr
24,246442.341,6709197.317,8.429,Mr
24,246252.433,6709289.712,7.902,Mr
25,246298.219,6709360.223,6.78,Mr
25,246492.332,6709266.174,4.418,Mr
26,246345.368,6709380.204,12.111,Mr
26,246544.333,6709209.713,-0.906,Mr
27,246404.624,6709400.263,12.214,Mr
28,246263.846,6709394.88,8.69,Mr
29,246194.755,6709398.984,9.057,Mr
3,246262.814,6709535.824,17.312,Mr
3,246350.309,6709081.73,9.738,Mr
30,246173.69,6709456.052,18.735,Mr
31,246131.183,6709485.641,19.058,Mr
32,246287.244,6709502.68,16.257,Mr
33,246316.805,6709446.977,15.158,Mr
34,246257.214,6709569.964,18.606,Mr
36,246064.574,6709561.532,10.844,Mr
4,246134.606,6709467.932,21.521,Mr
5,246229.902,6709478.357,15.322,Mr
6,246163.964,6709415.947,19.293,Mr
7,246256.83,6709417.055,8.014,Mr
8,246326.824,6709416.972,12.531,Mr
9,246200.698,6709334.285,12.546,Mr
9,246306.17,6709116.432,3.375,Mr
