PO,OM,Or,TY,TT,X,Y,Z,pvm,nro,AL,KL,SA,Si,KI,Sa,liSa,Hk,Sr,SrMr,Ki,Mr,Hksa,Sasi,Srmr,Hksr,Ka,Paattymissyvyys
,Kaarinan kaupunki,Kaarinan kaupunki,1483,PA  0 0,246183.146,6709236.262,27.762,22012014,12,0.00,,[],[],[],"['0.40', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80']",[],[],[],[],[],"['7.00', '7.16', '7.32', '7.52', '7.72', '7.74', '7.94', '8.08', '8.24', '8.44', '8.64', '8.84', '9.04', '9.24', '9.44', '9.62']",[],[],[],[],[],9.62
,Kaarinan kaupunki,Kaarinan kaupunki,1484,PA  0 0,246343.548,6709133.62,25.892,27012014,21,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60', '9.80', '10.00', '10.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40', '12.60', '12.80', '13.00', '13.20', '13.40', '13.60', '13.80', '14.00', '14.20', '14.40', '14.60', '14.80', '15.00', '15.20', '15.40', '15.60', '15.80', '16.00', '16.20', '16.40', '16.60']",[],[],[],[],[],"['16.80', '17.00', '17.20', '17.40', '17.60', '17.80', '18.00', '18.20', '18.40', '18.60', '18.80', '19.00', '19.20', '19.40', '19.60', '19.80', '20.00', '20.20', '20.40', '20.60', '20.80', '21.00', '21.20', '21.40', '21.60', '21.80', '22.00', '22.20', '22.40', '22.60', '22.80', '23.00', '23.20', '23.40', '23.52', '23.72', '23.92', '24.12', '24.20', '24.40', '24.46', '24.66', '24.86', '25.02']",[],[],[],[],[],25.02
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,246064.574,6709561.532,29.784,14122020,36,000.00  -,,[],[],[],['000.20'],[],[],[],[],[],"['016.40', '018.50', '018.94']",[],[],[],[],[],018.94
,Kaarinan kaupunki,Kaarinan kaupunki,14538,SI  0 0,246196.759,6709526.508,28.1,12012021,37,0.00,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],13.00
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,246263.846,6709394.88,27.02,14122020,28,000.00  -,,[],[],[],"['000.20', '000.80']",[],['000.60'],[],[],[],"['016.40', '018.33']",[],[],[],[],[],018.33
,Kaarinan kaupunki,Kaarinan kaupunki,1483,PA  0 0,246177.529,6709157.257,26.701,22012014,16,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80']",[],[],[],[],[],"['9.00', '9.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40', '12.60', '12.80', '13.00', '13.20', '13.40', '13.60', '13.80', '14.00', '14.20', '14.40', '14.60', '14.80', '15.00', '15.20', '15.40', '15.60', '15.80', '16.00', '16.20', '16.40', '16.60', '16.80', '17.00', '17.20', '17.40', '17.42', '17.62', '17.82', '18.02', '18.22', '18.42', '18.62', '18.82', '18.84']",[],[],[],[],[],18.84
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,246350.309,6709081.73,25.488,15122020,3,000.00  -,,[],[],[],"['000.20', '015.71']",[],[],[],[],[],['015.75'],[],[],[],[],[],015.75
,Kaarinan kaupunki,Kaarinan kaupunki,14538,SI  0 0,246402.338,6709169.918,25.563,13012021,10,0.00,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],15.00
,Kaarinan kaupunki,Kaarinan kaupunki,1480,PA  0 0,246134.606,6709467.932,28.961,17012014,4,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20']",[],[],[],[],[],"['5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.42', '7.44']",[],[],[],[],[],7.44
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,246215.556,6709336.924,27.25,11122020,23,000.00  -,,[],[],[],['000.20'],[],[],[],[],[],"['018.80', '020.00', '020.21', '020.51']",[],[],[],[],[],020.51
